,,,Step 111 [GetCvueProgVersionbyCamCode] OK: took 87 ms,GetCvueProgVersionbyCamCode,OK
49,,  HTTP/1.1 417 Please provide a valid Token,"Step 112 [GetStuOutcomeReports] FAILED: took 32 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 417 Please provide a valid Token",GetStuOutcomeReports,FAILED
50,,HTTP/1.1 403 You are not authorized to use this method,"Step 113 [PostReserveUnameinKUPortal-ProvisionV1] FAILED: took 24 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",PostReserveUnameinKUPortal-ProvisionV1,FAILED
51,,HTTP/1.1 403 You are not authorized to use this method,"Step 114 [PostGenUnameinKUPortal-ProvisionV1] FAILED: took 24 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",PostGenUnameinKUPortal-ProvisionV1,FAILED
52,,HTTP/1.1 403 You are not authorized to use this method,"Step 115 [GetChkReserveUnameinKUPortal-ProvisionV1] FAILED: took 26 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetChkReserveUnameinKUPortal-ProvisionV1,FAILED
53,,,"Step 116 [PostAuthV1] FAILED: took 9 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 500 Internal Server Error",PostAuthV1,FAILED
,,,Step 117 [GetCVueClassesbyCode-ClassesV1] OK: took 196 ms,GetCVueClassesbyCode-ClassesV1,OK
54,,HTTP/1.1 403 You are not authorized to use this method,"Step 118 [GetReturnStuEnrollmentsV1] FAILED: took 24 ms
 -> [Script Assertion] assert val==""HTTP/1.1 200 OK""
       |  |
       |  false
       HTTP/1.1 403 You are not authorized to use this method",GetReturnStuEnrollmentsV1,FAILED
,,,Step 119 [PostCreateSchforDocsV1] OK: took 465 ms,PostCreateSchforDocsV1,OK
,,,Step 120 [GetStuLedgerCardbyEnrollid] OK: took 902 ms,GetStuLedgerCardbyEnrollid,OK
,,,Step 121 [GetStuLedgerCardbyStuid] OK: took 42 ms,GetStuLedgerCardbyStuid,OK
